flight_id,flight_number,airline_code,airline_name,aircraft_id,aircraft_series,aircraft_category,origin_airport,date_key,arrival_time,arrival_slot_id,estimated_pax,estimated_bags,cargo_kg,has_cargo_data,is_active
97,EY5880,EY,Etihad Airways,4,A350,Widebody,BKK,20250302,06:40:00,81,215,291,0.0,FALSE,TRUE
98,PK3870,PK,Pakistan International Airlines,9,B737,Narrowbody,HKG,20250302,07:45:00,94,140,198,0.0,FALSE,TRUE
99,QP5851,QP,Akasa Air,7,A321,Narrowbody,JNB,20250302,07:45:00,94,160,198,0.0,FALSE,TRUE
100,G92247,G9,Air Arabia Abu Dhabi,8,A320,Narrowbody,ICN,20250302,07:55:00,96,154,226,0.0,FALSE,TRUE
101,EY6943,EY,Etihad Airways,4,A350,Widebody,ICN,20250302,08:10:00,99,281,375,0.0,FALSE,TRUE
102,EY8601,EY,Etihad Airways,7,A321,Narrowbody,JNB,20250302,08:10:00,99,155,210,0.0,FALSE,TRUE
103,EY1315,EY,Etihad Airways,4,A350,Widebody,CDG,20250302,08:20:00,101,258,385,5970.4,TRUE,TRUE
104,EY8354,EY,Etihad Airways,5,B787,Widebody,JNB,20250302,08:35:00,104,263,320,0.0,FALSE,TRUE
105,6E5593,6E,IndiGo,7,A321,Narrowbody,NRT,20250302,08:35:00,104,181,258,0.0,FALSE,TRUE
106,G91798,G9,Air Arabia Abu Dhabi,8,A320,Narrowbody,BKK,20250302,08:40:00,105,162,202,0.0,FALSE,TRUE
107,EY4812,EY,Etihad Airways,7,A321,Narrowbody,HKG,20250302,08:45:00,106,171,226,2529.3,TRUE,TRUE
108,EY6402,EY,Etihad Airways,7,A321,Narrowbody,HKG,20250302,08:45:00,106,189,243,0.0,FALSE,TRUE
109,IX5836,IX,Air India Express,9,B737,Narrowbody,SIN,20250302,08:45:00,106,146,212,0.0,FALSE,TRUE
110,G96611,G9,Air Arabia Abu Dhabi,8,A320,Narrowbody,HKG,20250302,09:00:00,109,150,200,0.0,FALSE,TRUE
111,EY7940,EY,Etihad Airways,7,A321,Narrowbody,HKG,20250302,09:00:00,109,150,215,0.0,FALSE,TRUE
112,6E2367,6E,IndiGo,8,A320,Narrowbody,MUM,20250302,09:25:00,114,168,237,0.0,FALSE,TRUE
113,AI9179,AI,Air India,4,A350,Widebody,HKG,20250302,09:25:00,114,266,347,4205.6,TRUE,TRUE
114,EY8494,EY,Etihad Airways,4,A350,Widebody,JNB,20250302,09:40:00,117,233,295,0.0,FALSE,TRUE
115,EY6978,EY,Etihad Airways,8,A320,Narrowbody,MUM,20250302,09:45:00,118,126,170,929.5,TRUE,TRUE
116,EY4045,EY,Etihad Airways,5,B787,Widebody,HKG,20250302,09:50:00,119,228,319,0.0,FALSE,TRUE
117,BG2226,BG,Biman Bangladesh Airlines,7,A321,Narrowbody,NRT,20250302,09:55:00,120,163,215,0.0,FALSE,TRUE
118,EY3966,EY,Etihad Airways,8,A320,Narrowbody,FRA,20250302,10:45:00,130,156,231,1703.9,TRUE,TRUE
119,EY5180,EY,Etihad Airways,5,B787,Widebody,SIN,20250302,10:50:00,131,216,315,5650.8,TRUE,TRUE
120,EY4447,EY,Etihad Airways,6,A330,Widebody,CDG,20250302,10:55:00,132,212,303,0.0,FALSE,TRUE
121,EY1039,EY,Etihad Airways,6,A330,Widebody,FRA,20250302,11:00:00,133,237,332,0.0,FALSE,TRUE
122,EY8791,EY,Etihad Airways,4,A350,Widebody,HKG,20250302,11:25:00,138,264,378,0.0,FALSE,TRUE
123,QR9133,QR,Qatar Airways,2,B777,Widebody,BKK,20250302,11:30:00,139,317,418,0.0,FALSE,TRUE
124,EY1474,EY,Etihad Airways,8,A320,Narrowbody,CDG,20250302,11:30:00,139,168,212,0.0,FALSE,TRUE
125,EY1453,EY,Etihad Airways,7,A321,Narrowbody,HKG,20250302,11:40:00,141,156,190,0.0,FALSE,TRUE
126,GF6042,GF,Gulf Air,6,A330,Widebody,JFK,20250302,12:00:00,145,199,296,0.0,FALSE,TRUE
127,GF8724,GF,Gulf Air,6,A330,Widebody,BKK,20250302,12:00:00,145,202,300,5464.6,TRUE,TRUE
128,EY2153,EY,Etihad Airways,7,A321,Narrowbody,KWI,20250302,12:10:00,147,181,247,0.0,FALSE,TRUE
129,EY3946,EY,Etihad Airways,7,A321,Narrowbody,NRT,20250302,12:50:00,155,174,236,0.0,FALSE,TRUE
130,EY6062,EY,Etihad Airways,3,B747,Widebody,CAI,20250302,12:50:00,155,285,395,6507.8,TRUE,TRUE
131,6E1691,6E,IndiGo,7,A321,Narrowbody,CAI,20250302,13:00:00,157,158,195,0.0,FALSE,TRUE
132,EY7255,EY,Etihad Airways,7,A321,Narrowbody,CDG,20250302,13:40:00,165,159,205,1632.9,TRUE,TRUE
133,W62214,W6,Wizz Air Abu Dhabi,8,A320,Narrowbody,MUM,20250302,14:05:00,170,132,164,1636.7,TRUE,TRUE
134,EY2353,EY,Etihad Airways,3,B747,Widebody,ICN,20250302,14:40:00,177,333,473,0.0,FALSE,TRUE
135,PK5726,PK,Pakistan International Airlines,7,A321,Narrowbody,SIN,20250302,15:00:00,181,175,262,0.0,FALSE,TRUE
136,EY8774,EY,Etihad Airways,3,B747,Widebody,LHR,20250302,15:05:00,182,353,476,8131.7,TRUE,TRUE
137,EY9180,EY,Etihad Airways,2,B777,Widebody,ICN,20250302,15:25:00,186,257,377,8750.4,TRUE,TRUE
138,EY536,EY,Etihad Airways,4,A350,Widebody,CDG,20250302,15:30:00,187,238,287,0.0,FALSE,TRUE
139,G99677,G9,Air Arabia Abu Dhabi,8,A320,Narrowbody,JNB,20250302,16:05:00,194,136,164,0.0,FALSE,TRUE
140,EY3449,EY,Etihad Airways,2,B777,Widebody,BKK,20250302,16:20:00,197,255,344,0.0,FALSE,TRUE
141,BS5336,BS,British International Helicopters,7,A321,Narrowbody,DXB,20250302,16:20:00,197,147,207,0.0,FALSE,TRUE
142,EY9973,EY,Etihad Airways,7,A321,Narrowbody,LHR,20250302,16:35:00,200,176,259,0.0,FALSE,TRUE
143,EY6907,EY,Etihad Airways,2,B777,Widebody,MUM,20250302,16:40:00,201,324,469,8548.1,TRUE,TRUE
144,EY4935,EY,Etihad Airways,8,A320,Narrowbody,FRA,20250302,17:05:00,206,159,201,0.0,FALSE,TRUE
145,EY6129,EY,Etihad Airways,4,A350,Widebody,FRA,20250302,17:25:00,210,247,333,0.0,FALSE,TRUE
146,EY5427,EY,Etihad Airways,5,B787,Widebody,CAI,20250302,17:40:00,213,226,324,5646.2,TRUE,TRUE
147,6E1601,6E,IndiGo,7,A321,Narrowbody,LHR,20250302,18:00:00,217,179,227,2038.0,TRUE,TRUE
148,EY9613,EY,Etihad Airways,6,A330,Widebody,DXB,20250302,18:25:00,222,242,293,0.0,FALSE,TRUE
149,W66897,W6,Wizz Air Abu Dhabi,7,A321,Narrowbody,HKG,20250302,18:30:00,223,141,184,0.0,FALSE,TRUE
150,6E9215,6E,IndiGo,7,A321,Narrowbody,BKK,20250302,18:40:00,225,173,228,0.0,FALSE,TRUE
151,EY6241,EY,Etihad Airways,2,B777,Widebody,ICN,20250302,18:50:00,227,260,325,0.0,FALSE,TRUE
152,EY1398,EY,Etihad Airways,2,B777,Widebody,CAI,20250302,18:55:00,228,291,358,5406.9,TRUE,TRUE
153,G94597,G9,Air Arabia Abu Dhabi,7,A321,Narrowbody,LHR,20250302,19:55:00,240,185,263,0.0,FALSE,TRUE
154,6E9221,6E,IndiGo,7,A321,Narrowbody,HKG,20250302,19:55:00,240,141,180,0.0,FALSE,TRUE
155,EY8463,EY,Etihad Airways,7,A321,Narrowbody,CDG,20250302,21:15:00,256,147,185,0.0,FALSE,TRUE
156,EY9608,EY,Etihad Airways,6,A330,Widebody,CAI,20250302,21:25:00,258,212,263,2814.0,TRUE,TRUE
157,EY3278,EY,Etihad Airways,5,B787,Widebody,MUM,20250302,22:30:00,271,232,345,0.0,FALSE,TRUE
158,EY3726,EY,Etihad Airways,8,A320,Narrowbody,FRA,20250302,23:05:00,278,128,155,0.0,FALSE,TRUE
159,EY4364,EY,Etihad Airways,7,A321,Narrowbody,CDG,20250302,23:15:00,280,146,178,2298.4,TRUE,TRUE
160,EY6521,EY,Etihad Airways,6,A330,Widebody,ICN,20250302,23:50:00,287,203,251,0.0,FALSE,TRUE
161,EY1318,EY,Etihad Airways,8,A320,Narrowbody,KWI,20250303,00:10:00,3,164,197,930.2,TRUE,TRUE
162,EY1062,EY,Etihad Airways,1,A380,Widebody,FRA,20250303,00:30:00,7,451,572,0.0,FALSE,TRUE
163,EY9370,EY,Etihad Airways,7,A321,Narrowbody,KWI,20250303,01:15:00,16,183,268,0.0,FALSE,TRUE
164,EY6284,EY,Etihad Airways,6,A330,Widebody,DXB,20250303,01:50:00,23,204,255,0.0,FALSE,TRUE
165,EY8220,EY,Etihad Airways,3,B747,Widebody,NRT,20250303,04:25:00,54,321,399,9480.9,TRUE,TRUE
166,IX1441,IX,Air India Express,9,B737,Narrowbody,DXB,20250303,06:00:00,73,135,182,0.0,FALSE,TRUE
167,RJ4842,RJ,Royal Jordanian,7,A321,Narrowbody,HKG,20250303,06:25:00,78,162,225,0.0,FALSE,TRUE
168,QR2298,QR,Qatar Airways,10,E190,Narrowbody,FRA,20250303,06:25:00,78,88,122,0.0,FALSE,TRUE
169,EY9225,EY,Etihad Airways,4,A350,Widebody,MUM,20250303,06:25:00,78,216,297,4926.2,TRUE,TRUE
170,EY4068,EY,Etihad Airways,6,A330,Widebody,BKK,20250303,06:35:00,80,209,276,4407.3,TRUE,TRUE
171,EY7961,EY,Etihad Airways,6,A330,Widebody,JNB,20250303,06:45:00,82,217,318,0.0,FALSE,TRUE
172,EY6871,EY,Etihad Airways,4,A350,Widebody,MUM,20250303,07:00:00,85,283,353,0.0,FALSE,TRUE
173,EY9308,EY,Etihad Airways,7,A321,Narrowbody,LHR,20250303,07:15:00,88,173,235,0.0,FALSE,TRUE
174,EY2716,EY,Etihad Airways,8,A320,Narrowbody,MUM,20250303,07:35:00,92,147,215,0.0,FALSE,TRUE
175,6E6625,6E,IndiGo,7,A321,Narrowbody,DXB,20250303,07:45:00,94,182,255,0.0,FALSE,TRUE
176,AI7834,AI,Air India,4,A350,Widebody,NRT,20250303,07:50:00,95,258,342,0.0,FALSE,TRUE
177,6E9829,6E,IndiGo,7,A321,Narrowbody,JNB,20250303,07:50:00,95,157,218,2771.3,TRUE,TRUE
178,EY5475,EY,Etihad Airways,8,A320,Narrowbody,CAI,20250303,07:55:00,96,147,216,0.0,FALSE,TRUE
179,EY6327,EY,Etihad Airways,5,B787,Widebody,CDG,20250303,07:55:00,96,201,250,0.0,FALSE,TRUE
180,EY6542,EY,Etihad Airways,2,B777,Widebody,LHR,20250303,08:00:00,97,269,371,0.0,FALSE,TRUE
181,EY8032,EY,Etihad Airways,2,B777,Widebody,HKG,20250303,08:15:00,100,312,440,0.0,FALSE,TRUE
182,6E6803,6E,IndiGo,8,A320,Narrowbody,HKG,20250303,08:15:00,100,155,219,0.0,FALSE,TRUE
183,EY4164,EY,Etihad Airways,4,A350,Widebody,HKG,20250303,08:25:00,102,253,347,4797.8,TRUE,TRUE
184,O36599,O3,SF Airlines,9,B737,Narrowbody,DEL,20250303,08:35:00,104,122,166,785.7,TRUE,TRUE
185,EY1200,EY,Etihad Airways,6,A330,Widebody,CDG,20250303,08:50:00,107,226,282,0.0,FALSE,TRUE
186,6E3670,6E,IndiGo,7,A321,Narrowbody,CDG,20250303,08:55:00,108,167,203,0.0,FALSE,TRUE
187,EY3792,EY,Etihad Airways,6,A330,Widebody,MUM,20250303,09:00:00,109,208,275,0.0,FALSE,TRUE
188,EY8773,EY,Etihad Airways,8,A320,Narrowbody,CDG,20250303,09:10:00,111,167,226,1524.7,TRUE,TRUE
189,EY1839,EY,Etihad Airways,4,A350,Widebody,FRA,20250303,09:15:00,112,217,279,6076.9,TRUE,TRUE
190,G95049,G9,Air Arabia Abu Dhabi,8,A320,Narrowbody,DEL,20250303,09:20:00,113,129,157,0.0,FALSE,TRUE
191,EY4277,EY,Etihad Airways,6,A330,Widebody,CDG,20250303,09:25:00,114,216,312,3908.7,TRUE,TRUE
192,EY5623,EY,Etihad Airways,7,A321,Narrowbody,MUM,20250303,09:30:00,115,156,205,2767.9,TRUE,TRUE
193,EY5907,EY,Etihad Airways,4,A350,Widebody,CAI,20250303,09:35:00,116,228,321,7140.3,TRUE,TRUE
194,G96483,G9,Air Arabia Abu Dhabi,8,A320,Narrowbody,HKG,20250303,10:00:00,121,146,208,859.1,TRUE,TRUE
195,MS1948,MS,EgyptAir,6,A330,Widebody,SIN,20250303,10:15:00,124,186,256,0.0,FALSE,TRUE
196,G93721,G9,Air Arabia Abu Dhabi,8,A320,Narrowbody,CAI,20250303,10:40:00,129,165,243,0.0,FALSE,TRUE
197,EY5346,EY,Etihad Airways,8,A320,Narrowbody,DXB,20250303,10:45:00,130,135,167,1918.4,TRUE,TRUE
198,EY711,EY,Etihad Airways,7,A321,Narrowbody,DXB,20250303,11:00:00,133,159,214,0.0,FALSE,TRUE
199,G97403,G9,Air Arabia Abu Dhabi,8,A320,Narrowbody,LHR,20250303,11:25:00,138,147,189,0.0,FALSE,TRUE
200,EY9112,EY,Etihad Airways,6,A330,Widebody,ICN,20250303,11:35:00,140,200,281,0.0,FALSE,TRUE
201,EY2421,EY,Etihad Airways,3,B747,Widebody,DEL,20250303,11:40:00,141,314,385,0.0,FALSE,TRUE
202,EY938,EY,Etihad Airways,2,B777,Widebody,JFK,20250303,12:05:00,146,289,413,9534.5,TRUE,TRUE
203,EY8105,EY,Etihad Airways,8,A320,Narrowbody,FRA,20250303,12:10:00,147,158,212,0.0,FALSE,TRUE
204,EY2937,EY,Etihad Airways,5,B787,Widebody,ICN,20250303,12:50:00,155,256,359,0.0,FALSE,TRUE
205,EY3442,EY,Etihad Airways,2,B777,Widebody,DXB,20250303,12:55:00,156,275,362,0.0,FALSE,TRUE
206,EY2036,EY,Etihad Airways,2,B777,Widebody,CDG,20250303,12:55:00,156,300,444,4925.1,TRUE,TRUE
207,EY619,EY,Etihad Airways,4,A350,Widebody,JNB,20250303,13:00:00,157,210,262,0.0,FALSE,TRUE
208,EY2319,EY,Etihad Airways,4,A350,Widebody,DEL,20250303,13:25:00,162,235,339,0.0,FALSE,TRUE
209,EY9535,EY,Etihad Airways,8,A320,Narrowbody,CDG,20250303,13:25:00,162,167,210,0.0,FALSE,TRUE
210,EY842,EY,Etihad Airways,6,A330,Widebody,DEL,20250303,13:40:00,165,191,280,6125.5,TRUE,TRUE
211,EY6941,EY,Etihad Airways,2,B777,Widebody,DXB,20250303,13:45:00,166,266,363,0.0,FALSE,TRUE
212,EY6453,EY,Etihad Airways,7,A321,Narrowbody,JFK,20250303,15:50:00,191,148,189,1305.4,TRUE,TRUE
213,EY2392,EY,Etihad Airways,7,A321,Narrowbody,CDG,20250303,16:00:00,193,161,233,2395.8,TRUE,TRUE
214,EY4737,EY,Etihad Airways,5,B787,Widebody,BKK,20250303,16:20:00,197,231,311,7115.9,TRUE,TRUE
215,EY4621,EY,Etihad Airways,4,A350,Widebody,SIN,20250303,16:20:00,197,264,356,0.0,FALSE,TRUE
216,QR7893,QR,Qatar Airways,2,B777,Widebody,HKG,20250303,16:25:00,198,301,443,7044.8,TRUE,TRUE
