demand_id,flight_id,date_key,arrival_slot_id,station_id,equipment_id,qty_required,qty_allocated,shortage_qty,pickup_slot_id,return_slot_id,allocation_distance_km,demand_calc_method,risk_level,sla_compliant,is_active
35,12,20250301,84,7,4,12,12,0,81,93,1.7,Estimated,OK,TRUE,TRUE
36,12,20250301,84,7,6,6,6,0,81,93,1.3,Estimated,OK,TRUE,TRUE
37,13,20250301,90,4,1,6,4,-2,85,99,1.4,Estimated,MEDIUM,FALSE,TRUE
38,13,20250301,90,4,4,5,5,0,85,99,1.7,Estimated,OK,TRUE,TRUE
39,13,20250301,90,4,6,3,3,0,85,99,1.4,Estimated,OK,TRUE,TRUE
40,14,20250301,91,3,1,8,8,0,87,100,2.0,Estimated,OK,TRUE,TRUE
41,14,20250301,91,3,4,6,6,0,87,100,0.3,Estimated,OK,TRUE,TRUE
42,14,20250301,91,3,6,3,3,0,87,100,0.3,Estimated,OK,TRUE,TRUE
43,15,20250301,93,6,2,12,12,0,89,102,2.2,Estimated,OK,TRUE,TRUE
44,15,20250301,93,6,4,21,20,-1,89,102,1.9,Estimated,LOW,TRUE,TRUE
45,15,20250301,93,6,6,11,11,0,89,102,2.5,Estimated,OK,TRUE,TRUE
46,16,20250301,95,1,1,6,6,0,91,104,2.4,Estimated,OK,TRUE,TRUE
47,16,20250301,95,1,4,7,7,0,91,104,1.5,Estimated,OK,TRUE,TRUE
48,16,20250301,95,1,6,4,4,0,91,104,2.4,Estimated,OK,TRUE,TRUE
49,17,20250301,99,5,2,12,12,0,94,108,1.8,Estimated,OK,TRUE,TRUE
50,17,20250301,99,5,4,20,20,0,94,108,2.3,Estimated,OK,TRUE,TRUE
51,17,20250301,99,5,6,10,10,0,94,108,0.8,Estimated,OK,TRUE,TRUE
52,18,20250301,100,1,1,6,6,0,96,109,0.3,Estimated,OK,TRUE,TRUE
53,18,20250301,100,1,4,6,6,0,96,109,0.4,Estimated,OK,TRUE,TRUE
54,18,20250301,100,1,6,3,3,0,96,109,0.4,Estimated,OK,TRUE,TRUE
55,19,20250301,108,4,1,6,6,0,104,117,1.4,Estimated,OK,TRUE,TRUE
56,19,20250301,108,4,4,7,7,0,104,117,1.9,Estimated,OK,TRUE,TRUE
57,19,20250301,108,4,6,4,2,-2,104,117,0.8,Estimated,MEDIUM,FALSE,TRUE
58,20,20250301,109,3,1,6,6,0,105,118,1.7,Estimated,OK,TRUE,TRUE
59,20,20250301,109,3,4,6,6,0,105,118,1.2,Estimated,OK,TRUE,TRUE
60,20,20250301,109,3,6,3,2,-1,105,118,1.8,Estimated,LOW,TRUE,TRUE
61,21,20250301,111,3,2,12,12,0,108,120,1.0,Estimated,OK,TRUE,TRUE
62,21,20250301,111,3,4,9,8,-1,108,120,0.7,Estimated,LOW,TRUE,TRUE
63,21,20250301,111,3,6,5,5,0,108,120,0.6,Estimated,OK,TRUE,TRUE
64,22,20250301,113,3,1,8,7,-1,109,122,1.3,Estimated,LOW,TRUE,TRUE
65,22,20250301,113,3,4,7,6,-1,109,122,0.4,Estimated,LOW,TRUE,TRUE
66,22,20250301,113,3,6,4,2,-2,109,122,2.4,Estimated,MEDIUM,FALSE,TRUE
67,23,20250301,114,5,1,8,8,0,110,123,1.4,Estimated,OK,TRUE,TRUE
68,23,20250301,114,5,4,7,6,-1,110,123,0.7,Estimated,LOW,TRUE,TRUE
69,23,20250301,114,5,6,4,4,0,110,123,1.2,Estimated,OK,TRUE,TRUE
70,24,20250301,121,9,1,8,8,0,116,130,2.4,Estimated,OK,TRUE,TRUE
71,24,20250301,121,9,4,8,4,-4,116,130,1.8,Estimated,HIGH,FALSE,TRUE
72,24,20250301,121,9,6,4,4,0,116,130,0.7,Estimated,OK,TRUE,TRUE
73,25,20250301,124,7,2,12,12,0,121,133,0.4,Estimated,OK,TRUE,TRUE
74,25,20250301,124,7,4,12,12,0,121,133,1.4,Estimated,OK,TRUE,TRUE
75,25,20250301,124,7,6,6,5,-1,121,133,0.4,Estimated,LOW,TRUE,TRUE
76,26,20250301,125,1,1,5,5,0,122,134,1.8,Estimated,OK,TRUE,TRUE
77,26,20250301,125,1,4,5,5,0,122,134,0.6,Estimated,OK,TRUE,TRUE
78,26,20250301,125,1,6,3,2,-1,122,134,1.6,Estimated,LOW,TRUE,TRUE
79,27,20250301,126,1,1,6,6,0,120,135,1.5,Estimated,OK,TRUE,TRUE
80,27,20250301,126,1,4,7,7,0,120,135,0.9,Estimated,OK,TRUE,TRUE
81,27,20250301,126,1,6,4,4,0,120,135,1.0,Estimated,OK,TRUE,TRUE
82,28,20250301,131,1,1,8,8,0,126,140,2.3,Estimated,OK,TRUE,TRUE
83,28,20250301,131,1,4,6,5,-1,126,140,1.3,Estimated,LOW,TRUE,TRUE
84,28,20250301,131,1,6,3,1,-2,126,140,0.5,Estimated,MEDIUM,FALSE,TRUE
85,29,20250301,137,8,2,12,11,-1,133,146,2.2,Estimated,LOW,TRUE,TRUE
86,29,20250301,137,8,4,14,14,0,133,146,0.6,Estimated,OK,TRUE,TRUE
87,29,20250301,137,8,6,7,7,0,133,146,1.8,Estimated,OK,TRUE,TRUE
88,30,20250301,141,4,1,6,6,0,138,150,1.5,Estimated,OK,TRUE,TRUE
89,30,20250301,141,4,4,5,4,-1,138,150,2.4,Estimated,LOW,TRUE,TRUE
90,30,20250301,141,4,6,3,3,0,138,150,0.6,Estimated,OK,TRUE,TRUE
91,31,20250301,141,4,1,6,6,0,137,150,1.6,Estimated,OK,TRUE,TRUE
92,31,20250301,141,4,4,6,6,0,137,150,0.7,Estimated,OK,TRUE,TRUE
93,31,20250301,141,4,6,3,3,0,137,150,0.9,Estimated,OK,TRUE,TRUE
94,32,20250301,143,1,1,8,8,0,140,152,2.1,Estimated,OK,TRUE,TRUE
95,32,20250301,143,1,4,8,8,0,140,152,1.0,Estimated,OK,TRUE,TRUE
96,32,20250301,143,1,6,4,4,0,140,152,2.5,Estimated,OK,TRUE,TRUE
97,33,20250301,145,3,1,3,3,0,139,154,0.5,Estimated,OK,TRUE,TRUE
98,33,20250301,145,3,4,4,3,-1,139,154,1.5,Estimated,LOW,TRUE,TRUE
99,33,20250301,145,3,6,2,2,0,139,154,1.6,Estimated,OK,TRUE,TRUE
100,34,20250301,146,7,2,12,12,0,143,155,2.3,Estimated,OK,TRUE,TRUE
101,34,20250301,146,7,4,13,13,0,143,155,2.2,Estimated,OK,TRUE,TRUE
102,34,20250301,146,7,6,7,6,-1,143,155,1.8,Estimated,LOW,TRUE,TRUE
103,35,20250301,149,8,2,12,8,-4,143,158,0.6,Estimated,HIGH,FALSE,TRUE
104,35,20250301,149,8,4,8,7,-1,143,158,2.4,Estimated,LOW,TRUE,TRUE
105,35,20250301,149,8,6,4,4,0,143,158,2.2,Estimated,OK,TRUE,TRUE
106,36,20250301,149,4,1,8,8,0,144,158,1.2,Estimated,OK,TRUE,TRUE
107,36,20250301,149,4,4,6,6,0,144,158,1.9,Estimated,OK,TRUE,TRUE
108,36,20250301,149,4,6,3,3,0,144,158,0.7,Estimated,OK,TRUE,TRUE
109,37,20250301,150,8,1,6,5,-1,147,159,0.7,Estimated,LOW,TRUE,TRUE
110,37,20250301,150,8,4,6,4,-2,147,159,1.0,Estimated,MEDIUM,FALSE,TRUE
111,37,20250301,150,8,6,3,3,0,147,159,0.8,Estimated,OK,TRUE,TRUE
112,38,20250301,155,1,1,8,8,0,149,164,2.2,Estimated,OK,TRUE,TRUE
113,38,20250301,155,1,4,8,5,-3,149,164,1.1,Estimated,MEDIUM,FALSE,TRUE
114,38,20250301,155,1,6,4,4,0,149,164,1.8,Estimated,OK,TRUE,TRUE
115,39,20250301,157,7,2,12,12,0,154,166,2.4,Estimated,OK,TRUE,TRUE
116,39,20250301,157,7,4,12,12,0,154,166,2.4,Estimated,OK,TRUE,TRUE
117,39,20250301,157,7,6,6,6,0,154,166,0.5,Estimated,OK,TRUE,TRUE
118,40,20250301,158,10,2,12,12,0,153,167,2.5,Estimated,OK,TRUE,TRUE
119,40,20250301,158,10,4,18,18,0,153,167,2.3,Estimated,OK,TRUE,TRUE
120,40,20250301,158,10,6,9,9,0,153,167,0.4,Estimated,OK,TRUE,TRUE
121,41,20250301,159,10,2,12,12,0,155,168,0.5,Estimated,OK,TRUE,TRUE
122,41,20250301,159,10,4,11,11,0,155,168,1.0,Estimated,OK,TRUE,TRUE
123,41,20250301,159,10,6,6,6,0,155,168,2.2,Estimated,OK,TRUE,TRUE
124,42,20250301,162,6,1,6,6,0,157,171,1.0,Estimated,OK,TRUE,TRUE
125,42,20250301,162,6,4,6,6,0,157,171,1.5,Estimated,OK,TRUE,TRUE
126,42,20250301,162,6,6,3,3,0,157,171,1.8,Estimated,OK,TRUE,TRUE
127,43,20250301,162,4,1,8,8,0,158,171,1.0,Estimated,OK,TRUE,TRUE
128,43,20250301,162,4,4,8,8,0,158,171,0.3,Estimated,OK,TRUE,TRUE
129,43,20250301,162,4,6,4,4,0,158,171,1.2,Estimated,OK,TRUE,TRUE
130,44,20250301,165,4,1,8,8,0,160,174,1.3,Estimated,OK,TRUE,TRUE
131,44,20250301,165,4,4,8,8,0,160,174,1.3,Estimated,OK,TRUE,TRUE
132,44,20250301,165,4,6,4,3,-1,160,174,1.7,Estimated,LOW,TRUE,TRUE
133,45,20250301,168,10,2,12,12,0,163,177,2.4,Estimated,OK,TRUE,TRUE
134,45,20250301,168,10,4,22,22,0,163,177,1.0,Estimated,OK,TRUE,TRUE
135,45,20250301,168,10,6,11,11,0,163,177,0.6,Estimated,OK,TRUE,TRUE
136,46,20250301,169,8,2,12,12,0,166,178,2.2,Estimated,OK,TRUE,TRUE
137,46,20250301,169,8,4,13,13,0,166,178,1.9,Estimated,OK,TRUE,TRUE
138,46,20250301,169,8,6,7,7,0,166,178,1.2,Estimated,OK,TRUE,TRUE
139,47,20250301,172,4,1,6,5,-1,169,181,2.0,Estimated,LOW,TRUE,TRUE
140,47,20250301,172,4,4,6,6,0,169,181,2.1,Estimated,OK,TRUE,TRUE
141,47,20250301,172,4,6,3,3,0,169,181,1.3,Estimated,OK,TRUE,TRUE
142,48,20250301,179,1,1,6,6,0,173,188,1.3,Estimated,OK,TRUE,TRUE
143,48,20250301,179,1,4,7,7,0,173,188,1.5,Estimated,OK,TRUE,TRUE
144,48,20250301,179,1,6,4,4,0,173,188,2.0,Estimated,OK,TRUE,TRUE
145,49,20250301,181,4,1,8,8,0,175,190,1.5,Estimated,OK,TRUE,TRUE
146,49,20250301,181,4,4,6,4,-2,175,190,1.3,Estimated,MEDIUM,FALSE,TRUE
147,49,20250301,181,4,6,3,3,0,175,190,2.1,Estimated,OK,TRUE,TRUE
148,50,20250301,183,4,1,8,8,0,177,192,0.9,Estimated,OK,TRUE,TRUE
149,50,20250301,183,4,4,7,7,0,177,192,0.9,Estimated,OK,TRUE,TRUE
150,50,20250301,183,4,6,4,4,0,177,192,1.0,Estimated,OK,TRUE,TRUE
151,51,20250301,184,1,1,8,8,0,180,193,1.8,Estimated,OK,TRUE,TRUE
152,51,20250301,184,1,4,5,5,0,180,193,0.4,Estimated,OK,TRUE,TRUE
153,51,20250301,184,1,6,3,3,0,180,193,1.5,Estimated,OK,TRUE,TRUE
154,52,20250301,186,7,2,12,12,0,180,195,2.0,Estimated,OK,TRUE,TRUE
155,52,20250301,186,7,4,11,10,-1,180,195,2.2,Estimated,LOW,TRUE,TRUE
156,52,20250301,186,7,6,6,6,0,180,195,1.1,Estimated,OK,TRUE,TRUE
157,53,20250301,188,3,1,8,8,0,183,197,2.2,Estimated,OK,TRUE,TRUE
158,53,20250301,188,3,4,8,5,-3,183,197,1.5,Estimated,MEDIUM,FALSE,TRUE
159,53,20250301,188,3,6,4,4,0,183,197,2.1,Estimated,OK,TRUE,TRUE
160,54,20250301,189,9,1,5,5,0,185,198,1.4,Estimated,OK,TRUE,TRUE
161,54,20250301,189,9,4,6,6,0,185,198,1.8,Estimated,OK,TRUE,TRUE
162,54,20250301,189,9,6,3,3,0,185,198,1.9,Estimated,OK,TRUE,TRUE
163,55,20250301,190,4,2,12,11,-1,187,199,0.5,Estimated,LOW,TRUE,TRUE
164,55,20250301,190,4,4,18,18,0,187,199,2.2,Estimated,OK,TRUE,TRUE
165,55,20250301,190,4,6,9,9,0,187,199,0.9,Estimated,OK,TRUE,TRUE
166,56,20250301,194,3,1,6,6,0,189,203,2.2,Estimated,OK,TRUE,TRUE
167,56,20250301,194,3,4,6,6,0,189,203,2.4,Estimated,OK,TRUE,TRUE
168,56,20250301,194,3,6,3,3,0,189,203,2.1,Estimated,OK,TRUE,TRUE
169,57,20250301,198,4,1,6,3,-3,195,207,0.8,Estimated,MEDIUM,FALSE,TRUE
170,57,20250301,198,4,4,6,6,0,195,207,2.4,Estimated,OK,TRUE,TRUE
171,57,20250301,198,4,6,3,3,0,195,207,0.4,Estimated,OK,TRUE,TRUE
172,58,20250301,199,1,1,6,6,0,195,208,1.3,Estimated,OK,TRUE,TRUE
173,58,20250301,199,1,4,5,5,0,195,208,2.4,Estimated,OK,TRUE,TRUE
174,58,20250301,199,1,6,3,3,0,195,208,0.9,Estimated,OK,TRUE,TRUE
175,59,20250301,201,10,2,12,12,0,198,210,0.7,Estimated,OK,TRUE,TRUE
176,59,20250301,201,10,4,13,13,0,198,210,1.6,Estimated,OK,TRUE,TRUE
177,59,20250301,201,10,6,7,5,-2,198,210,1.2,Estimated,MEDIUM,FALSE,TRUE
178,60,20250301,210,3,2,12,12,0,206,219,2.0,Estimated,OK,TRUE,TRUE
179,60,20250301,210,3,4,10,9,-1,206,219,2.1,Estimated,LOW,TRUE,TRUE
180,60,20250301,210,3,6,5,5,0,206,219,0.4,Estimated,OK,TRUE,TRUE
181,61,20250301,212,4,1,8,8,0,207,221,1.7,Estimated,OK,TRUE,TRUE
182,61,20250301,212,4,4,7,7,0,207,221,1.2,Estimated,OK,TRUE,TRUE
183,61,20250301,212,4,6,4,4,0,207,221,1.3,Estimated,OK,TRUE,TRUE
184,62,20250301,212,8,2,12,12,0,208,221,1.9,Estimated,OK,TRUE,TRUE
185,62,20250301,212,8,4,20,17,-3,208,221,1.7,Estimated,MEDIUM,FALSE,TRUE
186,62,20250301,212,8,6,10,8,-2,208,221,1.3,Estimated,MEDIUM,FALSE,TRUE
187,63,20250301,212,6,1,8,7,-1,207,221,0.9,Estimated,LOW,TRUE,TRUE
188,63,20250301,212,6,4,7,7,0,207,221,2.0,Estimated,OK,TRUE,TRUE
189,63,20250301,212,6,6,4,4,0,207,221,1.8,Estimated,OK,TRUE,TRUE
190,64,20250301,213,8,2,12,12,0,208,222,0.8,Estimated,OK,TRUE,TRUE
191,64,20250301,213,8,4,15,15,0,208,222,1.0,Estimated,OK,TRUE,TRUE
192,64,20250301,213,8,6,8,6,-2,208,222,1.5,Estimated,MEDIUM,FALSE,TRUE
193,65,20250301,214,7,2,12,12,0,211,223,1.2,Estimated,OK,TRUE,TRUE
194,65,20250301,214,7,4,12,12,0,211,223,0.8,Estimated,OK,TRUE,TRUE
195,65,20250301,214,7,6,6,6,0,211,223,1.9,Estimated,OK,TRUE,TRUE
196,66,20250301,215,1,1,8,8,0,212,224,1.2,Estimated,OK,TRUE,TRUE
197,66,20250301,215,1,4,7,7,0,212,224,1.8,Estimated,OK,TRUE,TRUE
198,66,20250301,215,1,6,4,4,0,212,224,1.5,Estimated,OK,TRUE,TRUE
199,67,20250301,215,10,2,12,12,0,210,224,1.3,Estimated,OK,TRUE,TRUE
200,67,20250301,215,10,4,18,18,0,210,224,0.8,Estimated,OK,TRUE,TRUE
201,67,20250301,215,10,6,9,9,0,210,224,1.0,Estimated,OK,TRUE,TRUE
202,68,20250301,217,4,1,8,8,0,213,226,1.4,Estimated,OK,TRUE,TRUE
203,68,20250301,217,4,4,7,7,0,213,226,2.4,Estimated,OK,TRUE,TRUE
204,68,20250301,217,4,6,4,4,0,213,226,0.9,Estimated,OK,TRUE,TRUE
205,69,20250301,218,1,1,6,6,0,213,227,0.7,Estimated,OK,TRUE,TRUE
206,69,20250301,218,1,4,6,6,0,213,227,1.5,Estimated,OK,TRUE,TRUE
207,69,20250301,218,1,6,3,3,0,213,227,2.4,Estimated,OK,TRUE,TRUE
208,70,20250301,219,10,2,12,12,0,215,228,2.0,Estimated,OK,TRUE,TRUE
209,70,20250301,219,10,4,13,13,0,215,228,0.3,Estimated,OK,TRUE,TRUE
210,70,20250301,219,10,6,7,7,0,215,228,1.4,Estimated,OK,TRUE,TRUE
211,71,20250301,220,7,2,12,10,-2,215,229,0.6,Estimated,MEDIUM,FALSE,TRUE
212,71,20250301,220,7,4,10,10,0,215,229,1.4,Estimated,OK,TRUE,TRUE
213,71,20250301,220,7,6,5,5,0,215,229,1.8,Estimated,OK,TRUE,TRUE
214,72,20250301,221,4,1,8,8,0,216,230,0.8,Estimated,OK,TRUE,TRUE
215,72,20250301,221,4,4,8,8,0,216,230,1.2,Estimated,OK,TRUE,TRUE
216,72,20250301,221,4,6,4,4,0,216,230,1.7,Estimated,OK,TRUE,TRUE
217,73,20250301,229,8,2,12,10,-2,223,238,2.2,Estimated,MEDIUM,FALSE,TRUE
218,73,20250301,229,8,4,17,14,-3,223,238,1.6,Estimated,MEDIUM,FALSE,TRUE
219,73,20250301,229,8,6,9,9,0,223,238,2.4,Estimated,OK,TRUE,TRUE
220,74,20250301,230,1,1,8,8,0,226,239,0.5,Estimated,OK,TRUE,TRUE
221,74,20250301,230,1,4,8,8,0,226,239,1.5,Estimated,OK,TRUE,TRUE
222,74,20250301,230,1,6,4,4,0,226,239,1.2,Estimated,OK,TRUE,TRUE
223,75,20250301,231,8,2,12,12,0,226,240,0.9,Estimated,OK,TRUE,TRUE
224,75,20250301,231,8,4,12,12,0,226,240,2.2,Estimated,OK,TRUE,TRUE
225,75,20250301,231,8,6,6,6,0,226,240,0.8,Estimated,OK,TRUE,TRUE
226,76,20250301,234,10,2,12,12,0,230,243,1.5,Estimated,OK,TRUE,TRUE
227,76,20250301,234,10,4,17,17,0,230,243,2.3,Estimated,OK,TRUE,TRUE
228,76,20250301,234,10,6,9,9,0,230,243,0.5,Estimated,OK,TRUE,TRUE
229,77,20250301,237,8,2,12,12,0,232,246,1.3,Estimated,OK,TRUE,TRUE
230,77,20250301,237,8,4,13,13,0,232,246,1.2,Estimated,OK,TRUE,TRUE
231,77,20250301,237,8,6,7,7,0,232,246,1.5,Estimated,OK,TRUE,TRUE
232,78,20250301,240,10,2,12,10,-2,237,249,1.6,Estimated,MEDIUM,FALSE,TRUE
233,78,20250301,240,10,4,14,14,0,237,249,0.8,Estimated,OK,TRUE,TRUE
234,78,20250301,240,10,6,7,7,0,237,249,2.2,Estimated,OK,TRUE,TRUE
235,79,20250301,257,1,1,8,8,0,252,266,2.0,Estimated,OK,TRUE,TRUE
236,79,20250301,257,1,4,6,6,0,252,266,1.4,Estimated,OK,TRUE,TRUE
237,79,20250301,257,1,6,3,3,0,252,266,0.9,Estimated,OK,TRUE,TRUE
238,80,20250301,259,8,2,12,9,-3,253,268,1.1,Estimated,MEDIUM,FALSE,TRUE
239,80,20250301,259,8,4,13,13,0,253,268,1.8,Estimated,OK,TRUE,TRUE
240,80,20250301,259,8,6,7,5,-2,253,268,1.2,Estimated,MEDIUM,FALSE,TRUE
241,81,20250301,266,4,1,6,6,0,260,275,1.5,Estimated,OK,TRUE,TRUE
242,81,20250301,266,4,4,6,6,0,260,275,1.0,Estimated,OK,TRUE,TRUE
243,81,20250301,266,4,6,3,3,0,260,275,2.4,Estimated,OK,TRUE,TRUE
244,82,20250301,270,10,2,12,12,0,267,279,1.5,Estimated,OK,TRUE,TRUE
245,82,20250301,270,10,4,11,11,0,267,279,0.7,Estimated,OK,TRUE,TRUE
246,82,20250301,270,10,6,6,6,0,267,279,2.0,Estimated,OK,TRUE,TRUE
247,83,20250301,275,1,1,8,8,0,271,284,0.6,Estimated,OK,TRUE,TRUE
248,83,20250301,275,1,4,7,7,0,271,284,2.2,Estimated,OK,TRUE,TRUE
249,83,20250301,275,1,6,4,4,0,271,284,0.4,Estimated,OK,TRUE,TRUE
250,84,20250301,276,1,1,6,6,0,272,285,0.3,Estimated,OK,TRUE,TRUE
251,84,20250301,276,1,4,7,7,0,272,285,0.8,Estimated,OK,TRUE,TRUE
252,84,20250301,276,1,6,4,4,0,272,285,0.5,Estimated,OK,TRUE,TRUE
253,85,20250301,284,4,2,12,10,-2,278,5,1.4,Estimated,MEDIUM,FALSE,TRUE
254,85,20250301,284,4,4,12,12,0,278,5,2.1,Estimated,OK,TRUE,TRUE
255,85,20250301,284,4,6,6,4,-2,278,5,1.3,Estimated,MEDIUM,FALSE,TRUE
256,86,20250302,20,7,2,12,10,-2,16,29,2.0,Estimated,MEDIUM,FALSE,TRUE
257,86,20250302,20,7,4,18,16,-2,16,29,2.4,Estimated,MEDIUM,FALSE,TRUE
258,86,20250302,20,7,6,9,9,0,16,29,2.1,Estimated,OK,TRUE,TRUE
259,87,20250302,26,3,1,8,6,-2,20,35,1.5,Estimated,MEDIUM,FALSE,TRUE
260,87,20250302,26,3,4,6,6,0,20,35,1.5,Estimated,OK,TRUE,TRUE
261,87,20250302,26,3,6,3,3,0,20,35,1.3,Estimated,OK,TRUE,TRUE
262,88,20250302,38,1,1,6,6,0,34,47,0.8,Estimated,OK,TRUE,TRUE
263,88,20250302,38,1,4,6,6,0,34,47,0.4,Estimated,OK,TRUE,TRUE
264,88,20250302,38,1,6,3,3,0,34,47,1.9,Estimated,OK,TRUE,TRUE
265,89,20250302,46,8,1,8,8,0,42,55,0.4,Estimated,OK,TRUE,TRUE
266,89,20250302,46,8,4,7,7,0,42,55,1.6,Estimated,OK,TRUE,TRUE
267,89,20250302,46,8,6,4,2,-2,42,55,0.5,Estimated,MEDIUM,FALSE,TRUE
268,90,20250302,51,1,2,12,12,0,47,60,1.7,Estimated,OK,TRUE,TRUE
269,90,20250302,51,1,4,9,9,0,47,60,1.3,Estimated,OK,TRUE,TRUE
270,90,20250302,51,1,6,5,2,-3,47,60,1.7,Estimated,MEDIUM,FALSE,TRUE
271,91,20250302,68,1,1,8,6,-2,63,77,2.4,Estimated,MEDIUM,FALSE,TRUE
272,91,20250302,68,1,4,7,7,0,63,77,2.3,Estimated,OK,TRUE,TRUE
273,91,20250302,68,1,6,4,4,0,63,77,1.5,Estimated,OK,TRUE,TRUE
274,92,20250302,75,7,2,12,8,-4,70,84,0.5,Estimated,HIGH,FALSE,TRUE
275,92,20250302,75,7,4,14,10,-4,70,84,1.8,Estimated,HIGH,FALSE,TRUE
276,92,20250302,75,7,6,7,7,0,70,84,0.7,Estimated,OK,TRUE,TRUE
277,93,20250302,77,7,2,12,12,0,74,86,0.4,Estimated,OK,TRUE,TRUE
278,93,20250302,77,7,4,11,11,0,74,86,1.2,Estimated,OK,TRUE,TRUE
279,93,20250302,77,7,6,6,6,0,74,86,1.2,Estimated,OK,TRUE,TRUE
280,94,20250302,78,7,2,12,12,0,74,87,1.6,Estimated,OK,TRUE,TRUE
281,94,20250302,78,7,4,10,10,0,74,87,1.8,Estimated,OK,TRUE,TRUE
282,94,20250302,78,7,6,5,5,0,74,87,1.6,Estimated,OK,TRUE,TRUE
283,95,20250302,79,4,1,6,6,0,74,88,1.8,Estimated,OK,TRUE,TRUE
284,95,20250302,79,4,4,6,4,-2,74,88,2.3,Estimated,MEDIUM,FALSE,TRUE
285,95,20250302,79,4,6,3,3,0,74,88,0.6,Estimated,OK,TRUE,TRUE
286,96,20250302,80,3,1,6,6,0,75,89,1.2,Estimated,OK,TRUE,TRUE
287,96,20250302,80,3,4,7,7,0,75,89,2.2,Estimated,OK,TRUE,TRUE
288,96,20250302,80,3,6,4,4,0,75,89,1.1,Estimated,OK,TRUE,TRUE
289,97,20250302,81,7,2,12,12,0,75,90,1.6,Estimated,OK,TRUE,TRUE
290,97,20250302,81,7,4,10,7,-3,75,90,0.3,Estimated,MEDIUM,FALSE,TRUE
291,97,20250302,81,7,6,5,5,0,75,90,1.2,Estimated,OK,TRUE,TRUE
292,98,20250302,94,4,1,5,3,-2,91,103,2.1,Estimated,MEDIUM,FALSE,TRUE
293,98,20250302,94,4,4,6,5,-1,91,103,1.6,Estimated,LOW,TRUE,TRUE
294,98,20250302,94,4,6,3,3,0,91,103,1.7,Estimated,OK,TRUE,TRUE
