replenishment_id,from_station_id,to_station_id,date_key,before_period_id,equipment_id,scenario_id,qty_to_move,distance_km,estimated_time_min,priority,trigger_reason,status,is_active
136,4,2,20250311,3,1,1,2,0.6,3,HIGH,Shortage,Completed,TRUE
137,2,7,20250311,3,3,1,23,1.6,7,HIGH,Shortage,Approved,TRUE
138,2,5,20250311,3,3,1,7,1.2,5,HIGH,Shortage,Approved,TRUE
139,9,1,20250311,3,1,1,1,2.5,10,LOW,Shortage,Recommended,TRUE
140,3,2,20250311,4,2,1,3,0.1,2,MEDIUM,Shortage,Completed,TRUE
141,10,9,20250311,4,3,1,1,0.4,2,LOW,Preventive,Approved,TRUE
142,9,8,20250312,1,3,1,8,0.4,2,HIGH,Shortage,Approved,TRUE
143,2,4,20250312,1,3,1,7,0.6,3,HIGH,Shortage,Recommended,TRUE
144,1,2,20250312,2,1,1,5,0.2,2,HIGH,Preventive,Approved,TRUE
145,2,3,20250312,2,3,1,15,0.1,2,HIGH,Balance,Completed,TRUE
146,5,3,20250312,2,1,1,3,1.1,5,MEDIUM,Shortage,Completed,TRUE
147,1,2,20250312,2,2,1,3,0.2,2,MEDIUM,Preventive,Recommended,TRUE
148,7,8,20250312,2,3,1,1,0.2,2,LOW,Balance,Recommended,TRUE
149,8,7,20250312,3,1,1,7,0.2,2,HIGH,Shortage,Completed,TRUE
150,10,9,20250312,3,1,1,4,0.4,2,HIGH,Balance,Completed,TRUE
151,10,9,20250312,3,3,1,2,0.4,2,HIGH,Shortage,Completed,TRUE
152,2,4,20250312,3,3,1,12,0.6,3,HIGH,Shortage,Completed,TRUE
153,7,6,20250312,4,3,1,11,0.4,2,HIGH,Shortage,Completed,TRUE
154,2,3,20250312,4,3,1,2,0.1,2,MEDIUM,Balance,Completed,TRUE
155,8,6,20250313,1,3,1,4,0.6,3,HIGH,Shortage,Completed,TRUE
156,2,4,20250313,2,3,1,8,0.6,3,HIGH,Shortage,Recommended,TRUE
157,3,5,20250313,3,3,1,5,1.1,5,HIGH,Shortage,Approved,TRUE
158,5,1,20250313,4,1,1,8,1.4,6,HIGH,Shortage,Approved,TRUE
159,2,1,20250313,4,3,1,3,0.2,2,MEDIUM,Balance,Completed,TRUE
160,3,1,20250314,1,1,1,3,0.3,2,HIGH,Shortage,Completed,TRUE
161,6,2,20250314,1,1,1,6,1.3,6,HIGH,Shortage,Approved,TRUE
162,2,4,20250314,1,3,1,58,0.6,3,HIGH,Preventive,Completed,TRUE
163,2,5,20250314,1,3,1,30,1.2,5,HIGH,Shortage,Completed,TRUE
164,9,6,20250314,1,3,1,3,1.0,4,HIGH,Shortage,Completed,TRUE
165,4,5,20250314,2,1,1,8,0.6,3,HIGH,Balance,Completed,TRUE
166,4,6,20250314,2,3,1,10,0.7,3,HIGH,Preventive,Approved,TRUE
167,2,5,20250314,2,3,1,19,1.2,5,HIGH,Shortage,Approved,TRUE
168,2,1,20250314,2,3,1,16,0.2,2,HIGH,Shortage,Completed,TRUE
169,9,8,20250314,2,3,1,8,0.4,2,HIGH,Balance,Approved,TRUE
170,7,8,20250314,2,1,1,2,0.2,2,MEDIUM,Shortage,Completed,TRUE
171,6,5,20250315,1,1,1,9,0.5,2,HIGH,Shortage,Approved,TRUE
172,9,10,20250315,1,1,1,8,0.4,2,HIGH,Shortage,Completed,TRUE
173,6,5,20250315,1,3,1,1,0.5,2,HIGH,Balance,Completed,TRUE
174,2,1,20250315,1,3,1,7,0.2,2,HIGH,Preventive,Completed,TRUE
175,5,6,20250315,2,3,1,5,0.5,2,HIGH,Shortage,Completed,TRUE
176,8,5,20250315,3,3,1,1,0.8,4,HIGH,Shortage,Approved,TRUE
177,2,3,20250315,3,3,1,7,0.1,2,HIGH,Preventive,Completed,TRUE
178,6,3,20250315,3,1,1,3,1.2,5,MEDIUM,Shortage,Completed,TRUE
179,8,6,20250315,4,3,1,3,0.6,3,MEDIUM,Shortage,Completed,TRUE
180,9,10,20250315,4,1,1,1,0.4,2,LOW,Balance,Completed,TRUE
181,1,2,20250316,1,1,1,5,0.2,2,HIGH,Shortage,Completed,TRUE
182,2,3,20250316,1,3,1,43,0.1,2,HIGH,Shortage,Completed,TRUE
183,8,5,20250316,1,3,1,11,0.8,4,HIGH,Shortage,Approved,TRUE
184,7,6,20250316,2,3,1,6,0.4,2,HIGH,Shortage,Approved,TRUE
185,2,3,20250316,2,3,1,19,0.1,2,HIGH,Preventive,Completed,TRUE
186,2,5,20250316,2,3,1,9,1.2,5,HIGH,Shortage,Completed,TRUE
187,1,2,20250316,2,2,1,3,0.2,2,MEDIUM,Balance,Completed,TRUE
188,1,3,20250316,2,2,1,1,0.3,2,MEDIUM,Shortage,Completed,TRUE
189,6,2,20250316,3,1,1,12,1.3,6,HIGH,Shortage,Completed,TRUE
190,6,4,20250316,3,1,1,2,0.7,3,HIGH,Balance,Completed,TRUE
191,8,3,20250316,3,1,1,1,1.7,7,HIGH,Shortage,Approved,TRUE
192,9,7,20250316,3,3,1,20,0.6,3,HIGH,Shortage,Recommended,TRUE
193,2,4,20250316,3,3,1,34,0.6,3,HIGH,Balance,Approved,TRUE
194,2,8,20250316,3,3,1,11,1.8,8,HIGH,Shortage,Completed,TRUE
195,1,3,20250316,4,1,1,3,0.3,2,MEDIUM,Shortage,Approved,TRUE
196,3,4,20250316,4,2,1,2,0.5,2,MEDIUM,Shortage,Approved,TRUE
197,5,3,20250317,1,1,1,4,1.1,5,HIGH,Balance,Approved,TRUE
198,8,6,20250317,1,3,1,5,0.6,3,HIGH,Shortage,Completed,TRUE
199,9,10,20250317,1,3,1,16,0.4,2,HIGH,Shortage,Approved,TRUE
200,2,3,20250317,1,3,1,7,0.1,2,HIGH,Preventive,Completed,TRUE
201,1,2,20250317,2,1,1,5,0.2,2,HIGH,Shortage,Approved,TRUE
202,1,2,20250317,3,1,1,5,0.2,2,HIGH,Shortage,Approved,TRUE
203,6,9,20250317,3,3,1,7,1.0,4,HIGH,Shortage,Completed,TRUE
204,5,4,20250317,4,1,1,10,0.6,3,HIGH,Balance,Completed,TRUE
205,10,9,20250317,4,3,1,1,0.4,2,LOW,Preventive,Approved,TRUE
206,3,1,20250318,1,1,1,3,0.3,2,HIGH,Shortage,Approved,TRUE
207,5,2,20250318,1,1,1,4,1.2,5,HIGH,Balance,Completed,TRUE
208,6,2,20250318,1,2,1,5,1.3,6,HIGH,Shortage,Completed,TRUE
209,8,5,20250318,1,3,1,2,0.8,4,HIGH,Shortage,Completed,TRUE
210,2,9,20250318,1,3,1,16,2.2,9,HIGH,Shortage,Completed,TRUE
211,7,1,20250318,1,2,1,2,1.9,8,MEDIUM,Shortage,Completed,TRUE
212,5,4,20250318,2,1,1,4,0.6,3,HIGH,Balance,Completed,TRUE
213,7,6,20250318,2,3,1,18,0.4,2,HIGH,Shortage,Completed,TRUE
214,2,4,20250318,2,3,1,14,0.6,3,HIGH,Shortage,Completed,TRUE
215,9,8,20250318,2,3,1,13,0.4,2,HIGH,Shortage,Completed,TRUE
216,2,3,20250318,2,3,1,7,0.1,2,HIGH,Balance,Completed,TRUE
217,7,8,20250318,2,1,1,1,0.2,2,LOW,Shortage,Completed,TRUE
218,1,3,20250318,3,2,1,4,0.3,2,HIGH,Balance,Completed,TRUE
219,2,1,20250318,3,3,1,16,0.2,2,HIGH,Shortage,Completed,TRUE
220,4,2,20250318,3,2,1,3,0.6,3,MEDIUM,Preventive,Approved,TRUE
221,3,4,20250318,4,3,1,5,0.5,2,HIGH,Balance,Completed,TRUE
222,3,4,20250319,1,2,1,3,0.5,2,MEDIUM,Shortage,Completed,TRUE
223,4,1,20250319,2,1,1,4,0.8,4,HIGH,Shortage,Completed,TRUE
224,6,5,20250319,2,2,1,1,0.5,2,LOW,Balance,Completed,TRUE
225,3,4,20250319,3,2,1,3,0.5,2,HIGH,Shortage,Completed,TRUE
226,9,7,20250319,3,3,1,4,0.6,3,HIGH,Shortage,Completed,TRUE
227,2,10,20250319,3,3,1,26,2.5,10,HIGH,Balance,Completed,TRUE
228,6,2,20250320,1,1,1,2,1.3,6,HIGH,Shortage,Completed,TRUE
229,9,6,20250320,1,3,1,12,1.0,4,HIGH,Shortage,Completed,TRUE
230,2,3,20250320,1,3,1,15,0.1,2,HIGH,Shortage,Completed,TRUE
231,2,1,20250320,2,3,1,4,0.2,2,HIGH,Shortage,Approved,TRUE
232,2,3,20250320,2,3,1,3,0.1,2,MEDIUM,Balance,Approved,TRUE
233,7,1,20250320,3,1,1,8,1.9,8,HIGH,Shortage,Recommended,TRUE
234,2,1,20250320,4,3,1,4,0.2,2,HIGH,Shortage,Recommended,TRUE
235,2,4,20250320,4,3,1,1,0.6,3,LOW,Shortage,Completed,TRUE
236,6,2,20250321,1,1,1,10,1.3,6,HIGH,Balance,Approved,TRUE
237,6,4,20250321,1,1,1,4,0.7,3,HIGH,Shortage,Approved,TRUE
238,2,3,20250321,1,3,1,35,0.1,2,HIGH,Shortage,Completed,TRUE
239,2,4,20250321,1,3,1,14,0.6,3,HIGH,Shortage,Completed,TRUE
240,8,7,20250321,1,1,1,3,0.2,2,MEDIUM,Shortage,Completed,TRUE
241,6,2,20250321,3,1,1,10,1.3,6,HIGH,Shortage,Completed,TRUE
242,8,5,20250321,3,1,1,7,0.8,4,HIGH,Shortage,Approved,TRUE
243,9,7,20250321,3,3,1,8,0.6,3,HIGH,Balance,Completed,TRUE
244,2,1,20250321,3,3,1,39,0.2,2,HIGH,Shortage,Recommended,TRUE
245,2,5,20250321,3,3,1,19,1.2,5,HIGH,Shortage,Completed,TRUE
246,2,6,20250321,3,3,1,16,1.3,6,HIGH,Shortage,Completed,TRUE
247,10,3,20250321,3,3,1,6,2.5,10,HIGH,Preventive,Completed,TRUE
248,7,8,20250321,3,2,1,2,0.2,2,MEDIUM,Balance,Approved,TRUE
249,6,2,20250322,1,1,1,20,1.3,6,HIGH,Shortage,Approved,TRUE
250,7,1,20250322,1,1,1,5,1.9,8,HIGH,Balance,Completed,TRUE
251,8,4,20250322,1,1,1,2,1.2,5,HIGH,Shortage,Completed,TRUE
252,2,1,20250322,1,3,1,16,0.2,2,HIGH,Shortage,Completed,TRUE
253,2,3,20250322,1,3,1,14,0.1,2,HIGH,Shortage,Approved,TRUE
254,6,8,20250322,1,3,1,8,0.6,3,HIGH,Preventive,Completed,TRUE
255,10,9,20250322,1,3,1,6,0.4,2,HIGH,Shortage,Completed,TRUE
256,3,1,20250322,2,1,1,3,0.3,2,HIGH,Shortage,Approved,TRUE
257,6,5,20250322,2,1,1,7,0.5,2,HIGH,Shortage,Approved,TRUE
258,3,2,20250322,2,2,1,3,0.1,2,MEDIUM,Preventive,Completed,TRUE
259,6,5,20250322,3,1,1,7,0.5,2,HIGH,Shortage,Approved,TRUE
260,8,5,20250322,3,3,1,5,0.8,4,HIGH,Shortage,Approved,TRUE
261,2,1,20250322,3,3,1,12,0.2,2,HIGH,Balance,Completed,TRUE
262,5,4,20250322,4,1,1,4,0.6,3,HIGH,Balance,Completed,TRUE
263,3,2,20250322,4,2,1,3,0.1,2,HIGH,Shortage,Completed,TRUE
264,2,1,20250322,4,3,1,39,0.2,2,HIGH,Preventive,Completed,TRUE
265,8,7,20250322,4,3,1,3,0.2,2,HIGH,Balance,Completed,TRUE
266,3,1,20250323,1,1,1,3,0.3,2,HIGH,Shortage,Approved,TRUE
267,1,3,20250323,2,2,1,4,0.3,2,HIGH,Shortage,Approved,TRUE
268,2,3,20250323,2,3,1,9,0.1,2,HIGH,Shortage,Completed,TRUE
269,2,1,20250323,3,3,1,15,0.2,2,HIGH,Shortage,Approved,TRUE
270,2,3,20250323,3,3,1,7,0.1,2,HIGH,Shortage,Approved,TRUE
271,1,3,20250323,3,1,1,3,0.3,2,MEDIUM,Balance,Completed,TRUE
272,3,2,20250323,3,2,1,3,0.1,2,MEDIUM,Preventive,Recommended,TRUE
273,5,4,20250323,3,2,1,3,0.6,3,MEDIUM,Shortage,Completed,TRUE
274,8,7,20250324,1,3,1,3,0.2,2,HIGH,Shortage,Approved,TRUE
275,2,1,20250324,1,3,1,16,0.2,2,HIGH,Shortage,Completed,TRUE
276,2,1,20250324,2,3,1,11,0.2,2,HIGH,Shortage,Approved,TRUE
277,8,7,20250324,2,1,1,1,0.2,2,MEDIUM,Preventive,Completed,TRUE
278,3,6,20250324,2,3,1,2,1.2,5,MEDIUM,Shortage,Approved,TRUE
279,3,1,20250324,2,1,1,1,0.3,2,LOW,Balance,Completed,TRUE
280,2,3,20250324,3,3,1,26,0.1,2,HIGH,Shortage,Completed,TRUE
281,2,1,20250324,3,3,1,4,0.2,2,HIGH,Shortage,Recommended,TRUE
282,5,1,20250324,3,1,1,3,1.4,6,MEDIUM,Shortage,Completed,TRUE
283,3,4,20250324,4,3,1,4,0.5,2,HIGH,Preventive,Completed,TRUE
284,3,2,20250324,4,2,1,3,0.1,2,MEDIUM,Preventive,Approved,TRUE
285,3,2,20250325,1,1,1,3,0.1,2,HIGH,Shortage,Completed,TRUE
286,5,4,20250325,1,1,1,10,0.6,3,HIGH,Shortage,Approved,TRUE
287,1,3,20250325,1,2,1,1,0.3,2,HIGH,Shortage,Completed,TRUE
288,2,4,20250325,1,3,1,18,0.6,3,HIGH,Shortage,Completed,TRUE
289,8,7,20250325,1,3,1,11,0.2,2,HIGH,Preventive,Completed,TRUE
290,6,5,20250325,2,3,1,3,0.5,2,HIGH,Shortage,Approved,TRUE
291,1,3,20250325,3,1,1,5,0.3,2,HIGH,Preventive,Completed,TRUE
292,2,6,20250325,3,3,1,29,1.3,6,HIGH,Shortage,Completed,TRUE
293,3,4,20250325,3,2,1,3,0.5,2,MEDIUM,Shortage,Completed,TRUE
294,1,3,20250325,4,1,1,5,0.3,2,HIGH,Shortage,Completed,TRUE
295,8,6,20250325,4,3,1,4,0.6,3,HIGH,Shortage,Completed,TRUE
296,4,5,20250325,4,3,1,10,0.6,3,HIGH,Shortage,Approved,TRUE
297,9,10,20250325,4,3,1,10,0.4,2,HIGH,Balance,Completed,TRUE
298,2,3,20250326,1,3,1,7,0.1,2,HIGH,Preventive,Completed,TRUE
299,8,5,20250326,1,3,1,2,0.8,4,MEDIUM,Shortage,Completed,TRUE
300,2,1,20250326,3,3,1,12,0.2,2,HIGH,Shortage,Completed,TRUE
301,3,4,20250326,4,1,1,3,0.5,2,HIGH,Preventive,Approved,TRUE
302,1,2,20250326,4,2,1,4,0.2,2,HIGH,Preventive,Completed,TRUE
303,9,6,20250326,4,3,1,3,1.0,4,MEDIUM,Shortage,Completed,TRUE
304,2,3,20250326,4,3,1,3,0.1,2,MEDIUM,Shortage,Completed,TRUE
305,7,6,20250327,1,3,1,13,0.4,2,HIGH,Preventive,Approved,TRUE
306,2,5,20250327,1,3,1,22,1.2,5,HIGH,Shortage,Approved,TRUE
307,2,3,20250327,1,3,1,7,0.1,2,HIGH,Balance,Completed,TRUE
308,2,4,20250327,2,3,1,37,0.6,3,HIGH,Shortage,Recommended,TRUE
309,3,2,20250327,3,1,1,3,0.1,2,HIGH,Shortage,Approved,TRUE
310,3,4,20250327,3,2,1,3,0.5,2,HIGH,Shortage,Completed,TRUE
311,9,7,20250327,3,3,1,5,0.6,3,HIGH,Shortage,Completed,TRUE
312,1,2,20250327,3,2,1,1,0.2,2,MEDIUM,Shortage,Completed,TRUE
313,6,5,20250327,3,1,1,1,0.5,2,LOW,Shortage,Completed,TRUE
314,2,4,20250327,4,3,1,20,0.6,3,HIGH,Preventive,Completed,TRUE
315,5,4,20250328,1,1,1,4,0.6,3,HIGH,Shortage,Completed,TRUE
316,5,4,20250328,1,2,1,5,0.6,3,HIGH,Preventive,Completed,TRUE
317,2,4,20250328,1,3,1,37,0.6,3,HIGH,Shortage,Approved,TRUE
318,9,8,20250328,1,3,1,1,0.4,2,LOW,Shortage,Approved,TRUE
319,7,6,20250328,2,3,1,6,0.4,2,HIGH,Shortage,Approved,TRUE
320,9,7,20250328,3,1,1,19,0.6,3,HIGH,Shortage,Completed,TRUE
